"MapoticID";"Longitude";"Latitude";"Name";"Category";"Rating";"Image URL";"Import ID";"Description";"Address";"Web";"E-mail";"Phone number";"Description";"Refreshment";"Diving";"Entrance";"Accessibility/parking";"Link";"Nudist beach";"Video";"Dog swimming"
"202693";"14.5424003601";"50.2645988464";"Mlékojedy (Free D Bar)";"Sand quarry";"3.4782608695652173";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202693/img_5615_QC7E3tL.jpg";"swimplaces:1";"";"";"";"";"";"Pískovna v Mlékojedech u Neratovic. V létě posezení u muziky na pískovém podloží, možnost občerstvení. ";"Restaurant on site";"Suitable for diving";"No entrance fee";"Very close";"http://www.free-d-bar.cz/index.php?content=mapa ";"Not suitable for nudists";"";""
"202694";"14.668717";"50.2448";"Jezero Lhota";"Sand quarry";"4.404255319148937";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202694/image-7a15e0d6-5e5d-412d-a344-fd73f24371c7_2048x1536.jpg";"swimplaces:2";"";"";"";"";"";"Stará zaplavená pískovna, v letních měsících z části placené koupaliště. Hodně lidí. Teplá a čistá voda. Písečné pláže. Jsou tu i nudistické pláže(první nudistická pláž v Československu). Jsou tu toalety i občerstvení.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"Very close";"http://stranypotapecske.cz/lokality/lokaldet.asp?Nazev=Lhota+%28u+M%ECln%EDka%29+%2D+jezero+Lhota";"Suitable for nudists";"";""
"202695";"14.659067";"50.2693";"Pískovna Konětopy ";"Sand quarry";"4.333333333333333";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202695/517cbf24-d890-4044-bab2-4f077d0894e6.jpg";"swimplaces:3";"";"";"";"";"";"Zaplavená pískovna, čistá voda, na březích rákosí. ";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202696";"14.616733";"50.247883";"Jezero Ovčáry";"Lake (pond)";"3.7272727272727275";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202696/cbf4cbe5-d07d-42e9-994a-e35dd2b1f729_bqHa7wV.jpg";"swimplaces:4";"Volně pčístupná pískovna s vodním lyžováním. Placené parkoviště, restaurace a kamp u parkoviště, stánek u pláže";"";"";"";"";"";"Restaurant on site";"Not suitable for diving";"No entrance fee";"100 m";"";"Not suitable for nudists";"";""
"202697";"14.05175";"49.938083";"Beroun - Lom Kosov";"Quarry";"4.130434782608695";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202697/img_9155_GDmBlbw.jpg";"swimplaces:5";"";"";"";"";"";"Zaplavený lom, parádně čistá voda ";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202698";"15.949956";"49.828561";"Lomy u Prosetína ";"Quarry";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202698/396a01f0-f5d2-4d56-bd05-1ebc4dad4eab.jpg";"swimplaces:6";"";"";"";"";"";"Několik nádherných lomů nedaleko od Skutče. ";"No restaurant";"Not suitable for diving";"No entrance fee";"";"http://jezewcik.sweb.cz/cestovani/prosetin/prosetin.htm";"Not suitable for nudists";"";""
"202699";"14.656577";"50.202067";"Proboštská jezera ";"Lake (pond)";"3.5625";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202699/image-60649d2e-397a-4727-9e89-e5052f62b89a_OzSJ8Vz.jpg";"swimplaces:7";"";"";"";"";"";"Koupání kousek od Prahy s možností parkování blízko vody. Pláže jsou většinou písčité nebo štěrko-písčité.
 Vstup do Vody je mírný. Jedna pláž je se vstupným a občerstvením. Je tu i malý kemp.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202700";"16.90226";"49.251086";"NEPUBLIKOVAT! Lom upravený na koupaliště ";"Quarry";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202700/94ff4b6a-e544-47b0-b374-6a9875ff5990.jpg";"swimplaces:8";"";"";"";"";"";"Lom předělaný ve třicátých letech na koupaliště.";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202701";"15.642081";"50.382737";"Přírodní koupaliště Dachová";"Swimming pool";"4.5";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202701/img_8206_tvI5lgR.jpg";"swimplaces:9";"";"";"";"";"";"Malebné koupaliště z třicátých let, platí se vstupné, na noc se zavírá. ";"Restaurant on site";"Not suitable for diving";"Entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202702";"15.409698";"49.630158";"Lomy Lipnice ";"Quarry";"4.25";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202702/77a904cb-bae7-4bcf-bd60-8e1a010f8e07.jpg";"swimplaces:10";"";"";"";"";"";"Zaplavené lesní lomy u Lipnice nad Sázavou, mnoho lomů, nádherně čistá voda. ";"No restaurant";"Suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202703";"15.8812955";"49.7776505";"Lom Srní";"Quarry";"4.125";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202703/30d8320b-f0f5-4e6c-b9d5-403e8808fd07.jpg";"swimplaces:11";"";"";"";"";"";"Pěkný lom poblíž Hlinska";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202704";"15.6093838";"50.0454992";"Mělické písáky";"Sand quarry";"4.846153846153846";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202704/c17d3812-8ea9-4bb2-8911-ceb17b0d4015.jpg";"swimplaces:15";"";"";"";"";"";"Parádní koupání, ihned u silnice, super voda,  stánky s občerstvením. Vstup do vody je pozvolný a pláže jsou písčité. Na poloostrově je kemp. Vstup zdarma.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202705";"15.5878833";"49.79084";"Lom u obce Borek";"Quarry";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202705/58b535f4-54b1-42b4-919e-5e61e4219698.jpg";"swimplaces:16";"";"";"";"";"";"Super koupání v překrásnem prostředí a v průzračně čisté vodě.";"No restaurant";"Suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202706";"15.5004218";"49.738636";"Lom u obce Habry";"Quarry";"1.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202706/7f4ad6e8-9bbf-4700-9406-421c42e2aba9.jpg";"swimplaces:18";"";"";"";"";"";"Další lomové koupání starší zatopený lom už je černé dno ale i tak super  voda.";"No restaurant";"Suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202707";"15.6352296";"49.7136714";"Požární nadrž Svinný (koupaliště)";"Swimming pool";"3.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202707/e53b4c6e-9f56-4932-8c5c-8cb37c60a994.jpg";"swimplaces:19";"";"";"";"";"";"Chemicky udržovaná voda, tudíž nekvete;)";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202708";"15.6888631";"49.6552516";"Nadrž u České Bělé";"Dam";"4.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202708/image-8f8bd2db-be82-4688-b24c-ffd2f06f14e7_PZRQAwL.jpg";"swimplaces:20";"";"";"";"";"";"Čistá voda bez ryb.";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202709";"15.7759598";"49.6683077";"Nadrž v obci Slavětín";"Dam";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202709/bfe1c662-7c1a-4788-b0ad-ab945b8d9329.jpg";"swimplaces:21";"";"";"";"";"";"";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202710";"15.6508508";"49.8375355";"Přehradní nadrž Seč";"Dam";"4.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202710/0ed70901-95e5-4508-b183-6e74bbd88712.jpg";"swimplaces:22";"";"";"";"";"";"Super pokoupání s možností stanování a zapůjčení pramic a šlapadel.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202711";"15.8983007";"49.6387007";"Velké Dářko";"Lake (pond)";"4.5";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202711/image-564735c1-a5c4-4358-9cfa-ff384ac8f3a9_2048x1152.jpg";"swimplaces:23";"";"";"";"";"";"Největší rybník na Vysočině. Někdy se nazývá Moře vysočiny.Rybník byl založen v 15 století.Příjemné koupání s dobrým zázemí.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Suitable for nudists";"";""
"202712";"15.7346108";"50.1089815";"Stéblová";"Sand quarry";"4.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202712/d64733f9-d2cb-4ad0-b8a9-f6cff9dc9f0e.jpg";"swimplaces:24";"";"";"";"";"";"Písáky.";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202713";"14.4140842";"49.791131";"Měřín";"River (stream)";"4.6";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202713/916a7feb-92e8-42e9-ab3f-4ac436fa00ac.jpg";"swimplaces:25";"";"";"";"";"";"Čistá teplá voda, přijatelně lidí, parkovné 100 Kč/den.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202715";"15.8119872";"49.8795817";"Práčov";"Dam";"2.6666666666666665";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202715/17915b10-4c07-4b0b-8ea4-0c357638903d.jpg";"swimplaces:27";"";"";"";"";"";"Přehradní nádrž (oficiálně zde není koupání povoleno:))";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202716";"12.9803469";"49.8736633";"Konstantinovy Lázně";"Quarry";"4.555555555555555";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202716/image-135b2888-a5d6-4264-9323-41bcd8c36054_OG1vJD5.jpg";"swimplaces:28";"";"";"";"";"";" Vstup placený - soukromý majetek, občerstvení na slušné úrovni v místě.";"No restaurant";"Suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202717";"12.7917447";"49.7507686";"Nová Hospoda";"Lake (pond)";"4.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202717/image-7fe7d0c8-0974-4a9f-8d0b-81f53994c365_2048x1152.jpg";"swimplaces:30";"";"";"";"";"";"";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202718";"12.4609533";"50.0769169";"Vodní nádrž Jesenice";"Dam";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202718/d4196141-ea9a-4786-8e14-8565fbd4125a.jpg";"swimplaces:31";"";"";"";"";"";"Kemp Ronak.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202719";"12.6895526";"49.9418747";"Přírodní koupaliště Lido";"Swimming pool";"4.75";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202719/image-944f856d-14e8-4469-8a47-8fc33ee390ed_2048x1536.jpg";"swimplaces:32";"";"";"";"";"";"Písečný břeh, možnost zahrát si beach volejbal. Najdete tu restauraci i kiosek. Vstupné je třicet korun, pro děti polovic.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Suitable for nudists";"";""
"202720";"12.7501276";"49.8724464";"Přírodní koupaliště Planá ";"Swimming pool";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202720/d52c2c1b-0af6-4bd0-9e8b-0dfd3cf230f7.jpg";"swimplaces:33";"";"";"";"";"";"Atrakce pro děti i dospělé, občerstvení.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"";"";"Not suitable for nudists";"";""
"202721";"13.1241777";"49.7965193";"Vodní nádrž Hracholusky";"Dam";"3.8";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202721/51c4ab42-eabb-460b-b301-c208c86668d5.jpg";"swimplaces:34";"";"";"";"";"";"Travnaté pláže s pozvolným vstupem do vody. Přímo v místě jsou k dispozici stánky s občerstvením i restaurace, sociální zařízení, restaurace i prodejna potravin. Návštěvníci mohou také využít možnost plavby výletní lodí po celé délce přehrady nebo podniknout výlet do krásných lesů v okolí.Vstup je 20 korun.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202722";"12.6759055";"50.0264244";"Rybník Kladská";"Lake (pond)";"2.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202722/11f42585-0d8c-40aa-9b68-0f69be45eeae.jpg";"swimplaces:35";"";"";"";"";"";"Rašeliniště";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202723";"12.695432";"50.0510934";"Mýtský rybník";"Lake (pond)";"5.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202723/7fcdc1d4-c827-4be4-8bbf-d303ca3a2e8e.jpg";"swimplaces:36";"";"";"";"";"";"Romantika jak má být.";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202724";"14.7068098";"49.1583754";"Bývalá pískovna";"Sand quarry";"4.8";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202724/c676da3c-8eda-4095-8e71-b057440fcfc6_NeJaTrf.jpg";"swimplaces:37";"";"";"";"";"";"4 přírodní nádrže, i nuda pláž.";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Suitable for nudists";"";""
"202725";"12.749103";"49.8727281";"Koupaliště Planá";"Swimming pool";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202725/3e80724e-d571-4f88-a407-cbb65bc67beb.jpg";"swimplaces:39";"";"";"";"";"";"Velká vodní plocha, dostatek travnatých ploch v okolí, hospoda, beach volejball, fotbálek.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"";"";"Not suitable for nudists";"";""
"202726";"14.7284713";"50.1699952";"Malvíny - Lázně Toušeň";"Sand quarry";"3.75";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202726/pxl_20220615_130057249_mp_1904x2048.jpg";"swimplaces:40";"";"";"";"";"";"Čelákovická pískovna.Na levém břehu se nesmí koupat. Občerstvení tu není. Voda je tu čistá.";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202727";"12.7792671";"49.8109499";"Lom Pavlovice";"Quarry";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202727/b811c12c-3d0a-49f7-a5ff-b41473220641.jpg";"swimplaces:41";"";"";"";"";"";"Bývalý čedičový lom. Po jeho zatopení byl upraven na koupaliště a slouží také potápěčům. Kvalitní voda, špatné vylézání z vody, na třech místech schůdky z vody, půlka nudistická pláž.";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202728";"14.9771979";"50.1569848";"Sadská pískovna";"Sand quarry";"4.111111111111111";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202728/image-e91ec6bd-28c4-40ee-91f8-e0636522d155_6eOZf1a.jpg";"swimplaces:42";"";"";"";"";"";"Z jedné strany stánky s pivem, z druhé strany klid. Ryby taky. Písečné pláže. Čistá voda. Jedna z pláží je nudistická.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Suitable for nudists";"";""
"202729";"14.5709613";"48.9866836";"Mrhal";"Lake (pond)";"4.5";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202729/2f0d2e57-0dbf-4f08-9a8f-f5f390243fd2.jpg";"swimplaces:43";"";"";"";"";"";"Rybník s hospůdkou.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202730";"14.4780174";"48.9606547";"Malý jez - ČB";"River (stream)";"3.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202730/e28111d5-55af-428c-a2ca-ceff3bd68fc7.jpg";"swimplaces:44";"";"";"";"";"";"Rekreační oblast uprostřed města ČB - protékající Malše zchladí každého.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202731";"14.479455";"48.9565054";"Velký jez - ČB";"River (stream)";"3.5";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202731/e0436f4b-f8e6-4fdb-9dbc-42fea1f60de2.jpg";"swimplaces:45";"";"";"";"";"";"Velká obdoba Malého jezu v ČB.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202732";"16.2044212";"49.5450065";"Domanínský rybník";"Lake (pond)";"4.25";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202732/ae1e7000-6385-44bb-acea-d09f16fc3fe0.jpg";"swimplaces:46";"";"";"";"";"";"Výletní místo u Bystřice nad Pernštejnem - hospůdka, ubytování.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202733";"16.2033";"49.47688";"Lom Dolní Rožínka";"Quarry";"4.444444444444445";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202733/99705f5f-0d47-4ecc-85d1-df2867effd62.jpg";"swimplaces:47";"";"";"";"";"";"Bývalý lom - osvěžující, průzračná voda.
Placené parkoviště 20 kč/vuz";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202734";"16.0910871";"49.6665648";"Milovský rybník";"Lake (pond)";"3.3333333333333335";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202734/c0ac6be1-88c9-4d8d-aadb-61d69a49070b.jpg";"swimplaces:48";"";"";"";"";"";"Ideální místo na letní dovolenou -  v okolí lesy plné skal a mezi nimi rybník.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202735";"13.3983424";"49.7739923";"Velký Bolevecký rybník";"Lake (pond)";"3.5714285714285716";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202735/image-77092650-62ae-4913-838c-c359a670e52c_CBTUmlM.jpg";"swimplaces:49";"";"";"";"";"";"Rybník je dnes využíván zejména pro rekreaci a vodní sporty. Probíhá postupná přeměna jeho rybničního charakteru v jezerní (obměna rostlin a ryb), která by měla zlepšit čistotu vody.Jsou tu stánky s občerstvením a kemp s chatkami.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Suitable for nudists";"";""
"202736";"14.8760089";"49.0688152";"Stráž nad Nežárkou";"Sand quarry";"2.4";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202736/image-c8538b11-47d1-4973-b838-264f56c31e19_RCxlgv0.jpg";"swimplaces:50";"";"";"";"";"";"Pískovna kousek od hlavní cesty.";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
